   x0   x1   x2 label  label_index  識別関数の値      予測値y
0   1  1.5  1.0     A          1.0     2.5  0.924142
1   1  2.0  2.5     A          1.0     4.5  0.989013
2   1  3.0  3.0     A          1.0     6.0  0.997527
3   1  1.5 -2.0     A          1.0    -0.5  0.377541
4   1  0.5  2.0     A          1.0     2.5  0.924142
5   1 -1.0 -3.0     B          0.0    -4.0  0.017986
6   1 -2.0 -1.2     B          0.0    -3.2  0.039166
7   1 -3.0 -0.5     B          0.0    -3.5  0.029312
8   1 -1.5  2.0     B          0.0     0.5  0.622459
9   1  0.0 -1.5     B          0.0    -1.5  0.182426
